subject,object,relation,paper_id,sentence_no,num_evidence
people,heat,tolerate,"[180804, 61626, 61626, 28439, 32954]","[4, 5, 5, 6, 7]",5
people,child,have-rel-role,"[180863, 53992, 62062, 177008]","[3, 1, 6, 3]",4
people,underst,have,"[180867, 205907, 118201]","[2, 2, 2]",3
people,underst,develop,"[184772, 186536, 139344, 155198]","[3, 6, 1, 5]",4
people,underst,improve,"[184906, 23817]","[5, 4]",2
people,underst,need,"[213440, 217450, 111150, 114233, 41370, 45167, 83693, 2122, 10523, 164606]","[4, 1, 3, 3, 3, 1, 24, 1, 0, 1]",10
people,underst,gain,"[117118, 2597, 3069, 38236, 178510]","[0, 1, 0, 2, 0]",5
people,underst,begin,"[11650, 12832]","[0, 1]",2
people,data,extract,"[180891, 166992]","[4, 12]",2
people,data,collect,"[182767, 103089, 111722, 114456, 117618, 54163, 59137, 61420, 81390, 4721, 177933]","[0, 3, 2, 3, 6, 0, 1, 0, 2, 0, 0]",11
people,data,share,"[182767, 58346, 2959]","[0, 1, 6]",3
people,data,provide,"[196192, 152632]","[7, 3]",2
people,data,use,"[201938, 202977, 202977, 215760, 103400, 120426, 150230, 49092, 49092, 58711, 91349, 91834, 99593, 2738, 4746, 8741, 12541, 159657]","[2, 0, 2, 4, 4, 1, 6, 0, 2, 3, 2, 11, 3, 4, 0, 8, 2, 3]",18
people,data,produce,"[202977, 207806, 117624, 49092]","[2, 4, 3, 2]",4
people,data,need,"[204824, 117618, 15196]","[5, 6, 7]",3
people,data,process,"[206939, 6031]","[0, 3]",2
people,data,analyze,"[101455, 143929, 159189, 159189, 49945, 51710, 13631, 170819]","[5, 17, 1, 5, 0, 2, 3, 3]",8
people,data,interact,"[107618, 8612]","[2, 9]",2
people,data,view,"[107618, 142608]","[2, 9]",2
people,data,fetch,"[111229, 111229]","[1, 1]",2
people,data,exchange,"[111929, 118484]","[2, 9]",2
people,data,manage,"[118069, 49945]","[4, 0]",2
people,data,log,"[118080, 1521, 3161, 4013, 7311, 30418, 33577, 33730]","[4, 3, 1, 5, 1, 8, 2, 3]",8
people,data,access,"[154391, 50715, 1489, 2738, 10230, 160886]","[2, 2, 3, 4, 2, 3]",6
people,data,visualize,"[54669, 2632, 13631]","[3, 7, 3]",3
people,data,own,"[58346, 92659]","[0, 2]",2
people,data,present,"[9578, 10176]","[9, 5]",2
people,blood,donate,"[180904, 180904, 197691]","[1, 4, 2]",3
people,area,reside,"[180904, 202861, 202861, 202861, 132866, 147205, 148075, 148075, 158288, 60913, 72076, 166237]","[4, 6, 6, 6, 0, 1, 1, 1, 4, 3, 5, 2]",12
people,area,possess,"[182896, 60295]","[1, 1]",2
people,area,roam,"[217877, 1246]","[5, 5]",2
people,area,inhabit,"[153751, 45741, 14432, 15808, 34519, 174359]","[0, 4, 11, 0, 2, 5]",6
people,area,operate,"[10118, 10118]","[4, 5]",2
people,stress,respond,"[185894, 102715]","[4, 6]",2
people,stress,experience,"[226882, 175354]","[3, 4]",2
people,stress,tolerate,"[57608, 179153]","[7, 13]",2
people,exposure,experience,"[180929, 201607, 112771, 48510, 176035]","[5, 4, 5, 0, 7]",5
people,exposure,assess,"[187611, 194439, 120426, 146169, 42807]","[4, 0, 6, 2, 0]",5
people,exposure,estimate,"[197481, 128916]","[4, 0]",2
people,exposure,have,"[103602, 133956]","[5, 0]",2
people,exposure,reduce,"[107688, 122348, 16928]","[1, 0, 1]",3
people,city,reside,"[180991, 181032, 190934, 197117, 206671, 208543, 210801, 218794, 224629, 225459, 100481, 110711, 111246, 116033, 116291, 118966, 132091, 132283, 132326, 144427, 145084, 43155, 51154, 56510, 61383, 75622, 77645, 77645, 78054, 90558, 91, 11080, 13001, 23596, 31307, 31307, 31307, 34644, 171324, 172137]","[3, 0, 0, 5, 0, 1, 0, 0, 1, 0, 3, 0, 2, 2, 0, 0, 0, 4, 4, 15, 1, 0, 2, 2, 8, 0, 10, 10, 0, 0, 0, 6, 5, 1, 1, 4, 6, 6, 6, 5]",40
people,city,inhabit,"[187461, 187461, 109828, 109828, 109828, 137468, 141015, 145640, 77645, 84155, 91040, 361, 11351, 23190, 34270, 169869, 169869, 173617]","[6, 8, 3, 6, 9, 8, 0, 0, 3, 0, 0, 0, 4, 4, 0, 2, 3, 1]",18
people,city,dwell,"[202406, 203706, 207958, 210807, 214892, 153400, 61378, 80766, 1737, 31041, 175340]","[2, 0, 2, 2, 4, 1, 0, 10, 1, 13, 4]",11
people,city,use,"[210296, 210296, 147614]","[0, 1, 0]",3
people,city,plan,"[214102, 104289, 105645, 47621, 48447, 53564, 53819, 95939, 95939, 98287, 166084]","[11, 8, 3, 4, 9, 1, 0, 0, 0, 9, 8]",11
people,city,manage,"[127022, 84222, 171165]","[3, 1, 1]",3
people,city,design,"[82512, 1218]","[5, 9]",2
people,skills,develop,"[181006, 191699, 148258, 164786]","[1, 1, 2, 6]",4
people,o.k,assess,"[181019, 181019]","[6, 7]",2
people,seashore,manage,"[141807, 28411]","[0, 9]",2
people,sustainability,understand,"[201929, 107962]","[3, 7]",2
people,sustainability,promote,"[101736, 7403]","[2, 2]",2
people,sustainability,learn,"[3084, 12666]","[0, 2]",2
people,automobiles,engineer,"[181070, 4773]","[1, 1]",2
people,automobiles,use,"[183932, 142981, 90178]","[2, 2, 8]",3
people,automobiles,afford,"[77234, 77234]","[12, 12]",2
people,fossil fuels,consume,"[204075, 218840, 103577, 121081]","[2, 1, 3, 0]",4
people,fossil fuels,produce,"[206114, 224142, 48584]","[6, 2, 2]",3
people,london,reside,"[181076, 220803]","[1, 1]",2
people,mitigation,achieve,"[91773, 170291]","[0, 0]",2
people,school,have-org-role,"[181094, 181094, 127456, 11441, 11441, 20737, 20737]","[4, 4, 2, 0, 0, 2, 2]",7
people,school,teach,"[190950, 132116, 71657]","[0, 7, 3]",3
people,school,lead,"[137963, 55567, 55567]","[7, 1, 4]",3
people,school,attend,"[76901, 28425, 33645]","[0, 5, 7]",3
people,l,manage,"[181109, 183729, 188442, 188442, 188551, 191012, 193522, 193522, 203927, 206511, 209632, 211317, 215472, 219025, 226866, 227024, 105260, 109306, 111338, 114233, 121934, 133531, 133531, 134596, 134713, 138524, 140762, 145630, 145630, 145983, 157641, 159013, 159013, 41818, 48437, 48635, 58621, 59568, 63897, 80288, 83693, 88735, 91333, 91676, 93609, 94794, 97176, 8039, 20740, 22464, 22955, 163123, 165834, 176252, 176635]","[8, 9, 7, 7, 9, 6, 5, 7, 7, 0, 7, 5, 2, 0, 12, 8, 6, 1, 5, 3, 2, 8, 16, 1, 14, 2, 9, 10, 15, 12, 8, 4, 4, 1, 7, 2, 4, 6, 6, 0, 24, 2, 8, 5, 1, 2, 0, 3, 2, 7, 10, 6, 0, 6, 7]",55
people,l,use,"[182575, 182732, 201621, 202973, 102979, 136746, 141515, 159327, 51498, 60223, 93609, 13250, 21606, 168302, 173457]","[18, 3, 0, 3, 3, 1, 3, 0, 1, 4, 9, 3, 2, 1, 1]",15
people,l,own,"[185779, 189640, 202664, 214164, 112080, 117183, 117258, 117861, 122354, 128313, 131182, 137857, 141837, 148314, 158016, 40472, 41727, 41727, 47874, 48973, 49228, 78023, 78280, 78829, 79523, 86989, 92481, 98442, 39112, 178106]","[3, 3, 3, 4, 10, 0, 5, 1, 2, 0, 7, 11, 5, 4, 5, 4, 1, 2, 2, 5, 3, 0, 4, 7, 2, 11, 6, 5, 0, 1]",30
people,l,cultivate,"[186813, 151442]","[8, 3]",2
people,l,hold,"[189524, 223118, 227514, 108832, 108832, 108832, 108832, 109708, 109708, 109708, 120750, 44380, 55150, 57062, 57062, 77269, 77269, 79316, 84111, 84111, 84111, 84111, 84623, 84970, 92851, 96214]","[6, 5, 5, 2, 3, 4, 8, 0, 1, 8, 3, 2, 0, 0, 1, 4, 4, 2, 2, 3, 4, 5, 3, 1, 2, 4]",26
people,l,plan,"[192649, 208488, 219930, 54943, 62157, 10846, 10846]","[0, 0, 10, 0, 7, 1, 1]",7
people,l,have,"[219778, 160341]","[10, 4]",2
people,l,depend,"[139836, 96214]","[0, 1]",2
people,l,make,"[145630, 146929]","[15, 2]",2
people,sass,feed,"[181113, 181113]","[7, 8]",2
people,quality,expect,"[181164, 55618]","[4, 4]",2
people,quality,improve,"[126983, 13734]","[1, 7]",2
people,ecosystem,engineer,"[181184, 104296, 30291, 30291, 159417]","[0, 9, 0, 1, 7]",5
people,ecosystem,manage,"[195138, 195553, 44818, 81011, 175321]","[1, 6, 1, 0, 0]",5
people,ecosystem,model,"[120261, 175321]","[2, 0]",2
people,lung defect,have,"[181217, 181217]","[0, 0]",2
people,function,need,"[2477, 170965]","[1, 0]",2
people,function,test,"[27338, 166677]","[6, 1]",2
people,lung,function,"[181217, 126104, 126663, 132326, 175075, 175887]","[4, 2, 6, 3, 0, 10]",6
people,tobacco,smoke,"[191530, 115034, 154487, 174473]","[6, 1, 4, 1]",4
people,air,pollute,"[181237, 228194, 112771, 154487, 157903, 157903, 51604, 57344, 60807, 84769, 87763, 94486, 11080, 12997, 30318, 32271, 166085, 171757, 172330, 178263, 178382]","[1, 4, 0, 4, 1, 2, 11, 3, 7, 2, 2, 5, 1, 1, 1, 1, 1, 4, 1, 6, 7]",21
people,air,breathe,"[202738, 220803]","[11, 1]",2
people,air,travel,"[218440, 99547, 99547]","[1, 2, 2]",3
people,organization,have-rel-role,"[181259, 195532, 219154, 12419]","[0, 1, 1, 1]",4
people,organization,have-org-role,"[202808, 215301, 111754, 116399, 117339, 132465, 52781, 56432]","[0, 5, 0, 0, 2, 1, 0, 0]",8
people,organization,stake,"[209401, 215301, 3979]","[1, 1, 6]",3
people,organization,lead,"[226392, 61088]","[3, 0]",2
people,traffic police,have-org-role,"[181321, 33940, 33940, 33940, 33940, 33940]","[0, 1, 8, 9, 9, 9]",6
people,changes,respond,"[181331, 202982]","[1, 0]",2
people,future,plan,"[181331, 190236]","[2, 2]",2
people,housing,manage,"[201484, 107312]","[0, 6]",2
people,success,achieve,"[72501, 95760, 24246]","[1, 1, 1]",3
people,estuarine,reside,"[181413, 181413, 146832, 146832]","[5, 6, 3, 4]",4
people,challenge,face,"[181429, 189602, 191784, 193626, 216935, 226433, 113197, 121484, 79771, 2067, 3238, 9359, 12209, 27143, 28755, 178713, 179449]","[10, 5, 3, 0, 1, 3, 0, 4, 0, 1, 4, 3, 0, 2, 4, 1, 11]",17
people,challenge,address,"[181829, 123617, 152478, 156077]","[2, 6, 16, 4]",4
people,challenge,respond,"[208287, 176804]","[3, 8]",2
people,team,have-org-role,"[181478, 186330, 189701, 198193, 198193, 202783, 215156, 216818, 227208, 107312, 158976, 48615, 81862, 3063, 4279, 22919, 34567]","[1, 2, 0, 4, 8, 3, 9, 3, 5, 6, 0, 0, 0, 1, 5, 4, 5]",17
people,team,lead,"[221963, 60855]","[1, 3]",2
people,diversity,sensor,"[217877, 1246]","[5, 5]",2
people,patterns,recognize,"[201650, 226173]","[1, 2]",2
people,leadership,practice,"[113810, 113810]","[0, 0]",2
people,shift,work,"[209236, 178299]","[2, 0]",2
people,demenia,have,"[181592, 176093, 176093]","[7, 0, 5]",3
people,leaf,mine,"[181593, 113131, 113131, 14857, 14857, 14857, 14857]","[15, 6, 20, 2, 4, 6, 8]",7
people,building,occupy,"[181604, 184663, 193878, 196457, 197967, 201451, 202399, 210701, 217955, 228748, 106769, 115180, 120197, 145144, 152650, 45742, 47163, 48550, 57126, 80766, 1898, 1898, 2757, 9168, 11677, 11677, 12839, 23609]","[0, 11, 3, 8, 6, 1, 4, 9, 0, 0, 1, 1, 4, 0, 9, 2, 4, 0, 5, 9, 3, 4, 5, 4, 0, 2, 0, 5]",28
people,building,own,"[184583, 194362, 208682, 105575, 75589, 2142, 2655, 8421, 10038, 12937, 23609]","[9, 1, 0, 2, 2, 5, 5, 1, 8, 4, 5]",11
people,building,operate,"[194362, 4298, 8421]","[1, 2, 1]",3
people,building,design,"[198402, 212291, 214208, 228689, 100332, 158013, 85816, 85816, 6864, 6864]","[9, 9, 4, 23, 5, 0, 0, 0, 1, 3]",10
people,building,manage,"[207050, 96227]","[7, 7]",2
people,building,use,"[208682, 217724, 151492, 53531]","[0, 1, 4, 2]",4
people,building,behave,"[57850, 57850]","[3, 5]",2
people,building,reside,"[1898, 10367]","[3, 1]",2
people,work,perform,"[181604, 16887]","[0, 1]",2
people,work,experience,"[227513, 6722]","[1, 2]",2
people,work,support,"[148258, 28934]","[2, 1]",2
people,work,practice,"[81951, 177130]","[3, 8]",2
people,work,start,"[90254, 6586]","[1, 0]",2
people,fish,consume,"[181639, 211545, 44943, 53712, 55581, 87936, 159999, 177349]","[5, 4, 5, 1, 4, 11, 7, 2]",8
people,fish,manage,"[192062, 110416, 118702, 131480, 137261, 138908, 55258, 24756, 177590]","[10, 0, 11, 4, 7, 2, 3, 11, 5]",9
people,fish,collect,"[195220, 195220]","[3, 12]",2
people,fish,eat,"[211431, 125134, 128601, 128601, 41502, 49260, 14173, 14173, 177349]","[5, 4, 3, 3, 3, 6, 3, 5, 0]",9
people,fish,have-rel-role,"[123803, 133089, 54133, 54133]","[5, 9, 1, 1]",4
people,fish,prey,"[123803, 50050]","[5, 1]",2
people,measurement,complete,"[129306, 19842, 176125, 176153]","[2, 1, 0, 2]",4
people,measurement,report,"[6435, 29085, 160319]","[4, 9, 5]",3
people,home,buy,"[181654, 198417]","[0, 3]",2
people,home,own,"[192977, 194802, 205320, 213599, 218110, 222966, 223921, 123319, 131378, 156501, 46046, 59170, 75813, 76770, 6454, 31629, 174499, 178787]","[7, 2, 3, 1, 1, 2, 2, 6, 3, 1, 0, 15, 3, 0, 11, 0, 7, 2]",18
people,home,occupy,"[193125, 197789, 218727, 89990]","[0, 3, 1, 8]",4
people,home,reside,"[125718, 130456, 130456, 130456, 130636, 130636, 48510]","[1, 1, 8, 9, 2, 2, 0]",7
people,faculty,have-org-role,"[195213, 104600, 125701, 138468, 56601]","[3, 2, 0, 4, 1]",5
people,willingness,indicate,"[131576, 42229]","[9, 4]",2
people,share,will,"[181843, 135353, 135353, 58346, 2384]","[10, 2, 5, 1, 1]",5
people,share,intend,"[184131, 184131, 213795, 103818]","[0, 0, 1, 3]",4
people,share,behave,"[203956, 119063, 48615, 19739, 19739]","[0, 0, 0, 2, 3]",5
people,information,share,"[181843, 135353, 57120, 2384, 2384, 21350]","[10, 5, 10, 0, 1, 3]",6
people,information,gather,"[188251, 12146, 160325]","[11, 3, 9]",3
people,information,obtain,"[189719, 191031, 40726]","[7, 6, 6]",3
people,information,need,"[190000, 194893, 131520, 156511, 158849, 158849, 56780]","[7, 1, 2, 6, 3, 3, 1]",7
people,information,collect,"[193853, 193853, 217525]","[2, 2, 11]",3
people,information,supply,"[202406, 135353]","[10, 5]",2
people,information,receive,"[206179, 98731]","[5, 13]",2
people,information,disseminate,"[213698, 155306, 9944, 171075]","[0, 0, 2, 2]",4
people,information,use,"[215472, 104319, 135353, 136849, 149243, 78475, 1878, 34491]","[2, 4, 4, 0, 2, 4, 2, 9]",8
people,information,apply,"[115273, 170779]","[0, 4]",2
people,information,process,"[117236, 137306, 76845, 93955]","[4, 6, 6, 1]",4
people,information,manage,"[118484, 94794]","[9, 2]",2
people,information,have,"[124842, 129158, 133531]","[4, 0, 16]",3
people,information,want,"[137475, 137475]","[1, 1]",2
people,information,access,"[142336, 155515, 45092, 9157]","[14, 1, 0, 1]",4
people,information,provide,"[152334, 3244]","[5, 4]",2
people,information,communicate,"[73486, 2814]","[4, 1]",2
people,information,give,"[2337, 169553]","[2, 2]",2
people,support,need,"[192766, 101506, 142978, 12333, 179884]","[0, 5, 2, 1, 6]",5
people,support,staff,"[198635, 198635]","[3, 7]",2
people,support,will,"[215671, 104239]","[1, 5]",2
people,support,receive,"[137428, 138885]","[3, 1]",2
people,support,design,"[157840, 178960]","[0, 1]",2
people,support,provide,"[98508, 18001]","[5, 0]",2
people,support,require,"[8033, 35430]","[2, 0]",2
people,program,responsible,"[181843, 107187]","[12, 0]",2
people,program,participate,"[188656, 188656, 203191, 228140, 103997, 81512, 30924, 176153, 178621]","[4, 4, 3, 8, 2, 8, 7, 2, 0]",9
people,program,use,"[203293, 12253]","[8, 8]",2
people,program,implement,"[105300, 132180]","[1, 1]",2
people,program,plan,"[119322, 16312, 179146]","[3, 2, 7]",3
people,program,manage,"[45720, 60237, 178606]","[2, 8, 10]",3
people,research,review,"[181884, 225510]","[2, 1]",2
people,research,excel,"[188685, 112231]","[4, 4]",2
people,research,author,"[190561, 201565, 225757, 113123, 149569, 151646, 157197, 45565, 48695, 84791, 92769, 98882, 2011, 7082, 7181, 7824, 7825, 7826, 7827, 7828, 7829, 7830, 7832, 7833, 7834, 7835, 7836, 7837, 7838, 7839, 7840, 7850, 7851, 7852, 7854, 8276, 8277, 8334, 8372, 8502, 8503, 8647, 8935, 8935, 8956, 8961, 8962, 8968, 9337, 9396, 9439, 9443, 9445, 9451, 9505, 9507, 9536, 9573, 9576, 9601, 9607, 9639, 9704, 9785, 9789, 9792, 9838, 9839, 9840, 9842, 9848, 9849, 9850, 9854, 9876, 9877, 9880, 9909, 9924, 9925, 9926, 9927, 9929, 9930, 9932, 9933, 9936, 9937, 9938, 9939, 9940, 9942, 9945, 9946, 9947, 9948, 9949, 9950, 9951, 9961, 9963, 9964, 9965, 9966, 9967, 9968, 9969, 9970, 9971, 9972, 9973, 9975, 9977, 9978, 9979, 9980, 9982, 9983, 9984, 9988, 9991, 9993, 10023, 10025, 10120, 10125, 10151, 10185, 10190, 10193, 10194, 10217, 10220, 10266, 10287, 10289, 10294, 10298, 10313, 10320, 10441, 10514, 11032, 11051, 11058, 11098, 11107, 11119, 11120, 11175, 11177, 11181, 11182, 11183, 11184, 11185, 11186, 11187, 11188, 11189, 11190, 11191, 11193, 11194, 11195, 11196, 11197, 11198, 11199, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11209, 11210, 11211, 11212, 11214, 11215, 11217, 11219, 11220, 11222, 11223, 11224, 11225, 11226, 11227, 11228, 11229, 11230, 11231, 11232, 11233, 11234, 11235, 11236, 11237, 11238, 11239, 11240, 11241, 11242, 11243, 11244, 11245, 11246, 11247, 11248, 11249, 11251, 11252, 11253, 11254, 11255, 11256, 11257, 11258, 11259, 11260, 11261, 11262, 11263, 11264, 11265, 11266, 11267, 11268, 11269, 11270, 11271, 11272, 11273, 11274, 11275, 11276, 11277, 11278, 11280, 11281, 11282, 11283, 11284, 11285, 11286, 11287, 11288, 11289, 11290, 11291, 11292, 11293, 11294, 11295, 11296, 11297, 11298, 11299, 11300, 11301, 11302, 11303, 11304, 11305, 11306, 11307, 11308, 11309, 11310, 11311, 11312, 11313, 11314, 11315, 11316, 11317, 11318, 11319, 11320, 11321, 11322, 11323, 11324, 11325, 11326, 11327, 11328, 11329, 11330, 11331, 11332, 11333, 11334, 11335, 11336, 11337, 11338, 11339, 11340, 11341, 11342, 11343, 11344, 11345, 11346, 11347, 11348, 11349, 11350, 11351, 11352, 11353, 11354, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11376, 11377, 11378, 11379, 11380, 11381, 11382, 11383, 11384, 11385, 11386, 11387, 11388, 11389, 11390, 11391, 11392, 11393, 11394, 11395, 11396, 11397, 11398, 11399, 11400, 11401, 11402, 11403, 11468, 11469, 11472, 11474, 11475, 11477, 11478, 11479, 11482, 11572, 11908, 11917, 11929, 11946, 12671, 12672, 12675, 12680, 12682, 12684, 12685, 12691, 12692, 12697, 12708, 12711, 12752, 12783, 12821, 12856, 12858, 12862, 12863, 12877, 12878, 12929, 12994, 13004, 13012, 13015, 13017, 13026, 13034, 13035, 13055, 13096, 13156, 13294, 13295, 13296, 13297, 13299, 13302, 13318, 13322, 13323, 13325, 13326, 13327, 13329, 13330, 13332, 13333, 13334, 13335, 13336, 13337, 13338, 13340, 13341, 13342, 13350, 13351, 13352, 13353, 13386, 13387, 13403, 13404, 13405, 13410, 13411, 13452, 37801, 40093, 171459, 177129, 177268]","[0, 0, 0, 2, 3, 0, 1, 8, 0, 0, 0, 0, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 2, 2, 1]",453
people,research,develop,"[213223, 102566, 156607, 99740, 176388]","[11, 0, 0, 3, 3]",5
people,research,conduct,"[222435, 119833, 38783]","[1, 5, 6]",3
people,research,use,"[122247, 133609, 133609, 89834, 36447]","[7, 2, 2, 5, 3]",5
people,research,participate,"[130456, 135483, 146912, 154569, 47869, 51459, 10689, 23989, 37110, 178611]","[1, 2, 1, 4, 0, 6, 1, 4, 5, 1]",10
people,research,effort,"[139012, 2059]","[0, 1]",2
people,research,work,"[144412, 7634, 16888, 173675]","[1, 3, 2, 4]",4
people,models,propose,"[181884, 222047, 223208, 12432]","[3, 6, 0, 0]",4
people,models,use,"[183047, 218376, 223536, 138885, 142608, 156786, 48527, 174461]","[1, 2, 1, 1, 3, 1, 0, 8]",8
people,models,develop,"[187588, 192056, 119296, 94788, 7048, 12164, 169404]","[3, 7, 0, 0, 3, 3, 2]",7
people,models,apply,"[187905, 22464]","[1, 7]",2
people,models,create,"[224195, 34408]","[0, 2]",2
people,models,improve,"[224370, 150940]","[4, 8]",2
people,models,establish,"[122207, 144215, 90956, 166780]","[1, 1, 0, 5]",4
people,models,present,"[130605, 172983]","[0, 0]",2
people,models,build,"[138834, 56348]","[0, 1]",2
people,models,analyze,"[47625, 8033]","[0, 0]",2
people,models,test,"[75687, 177666]","[2, 1]",2
people,models,predict,"[7802, 174182]","[1, 1]",2
people,models,integrate,"[13280, 170927]","[6, 4]",2
people,tourism,manage,"[181905, 102799]","[2, 4]",2
people,tourism,plan,"[106382, 50627]","[5, 0]",2
people,tourism,operate,"[110630, 143099]","[2, 1]",2
people,drought,sensitive,"[181994, 170151]","[10, 7]",2
people,drought,tolerate,"[181994, 214744, 214744, 117792, 134908, 40837, 45605, 57790, 76522, 79407, 85865, 90288, 17368, 170631]","[10, 1, 1, 1, 4, 3, 6, 0, 0, 1, 1, 0, 1, 0]",14
people,drought,monitor,"[10466, 10466]","[2, 4]",2
people,antarctica,visit,"[182050, 126935, 13853]","[0, 2, 3]",3
people,reduction,achieve,"[117513, 91658]","[1, 2]",2
people,reduction,measure,"[135266, 1598]","[3, 7]",2
people,climate information,use,"[227870, 145784, 179046]","[3, 0, 1]",3
people,government,represent,"[182147, 135038, 45053, 61650]","[0, 0, 6, 1]",4
people,government,have-org-role,"[183543, 183758, 184618, 190542, 211919, 212067, 214436, 223494, 226486, 114739, 126568, 128013, 131818, 131818, 131819, 131823, 131823, 152156, 152935, 156083, 157466, 43601, 43877, 55718, 72074, 82990, 87576, 89755, 2428, 5284, 5752, 6668, 10176, 14377, 17008, 17896, 27652, 160432, 167355, 167407, 173076]","[2, 1, 0, 5, 3, 1, 5, 2, 3, 1, 2, 0, 11, 11, 2, 11, 11, 3, 2, 5, 0, 2, 0, 0, 2, 4, 3, 2, 2, 0, 1, 9, 1, 3, 1, 0, 3, 2, 0, 8, 7]",41
people,government,lead,"[210114, 141350, 99247, 7707, 12437, 179736]","[6, 2, 11, 1, 1, 2]",6
people,government,regulate,"[113987, 118766, 159022]","[0, 0, 1]",3
people,government,manage,"[59334, 3197]","[8, 9]",2
people,energy,consume,"[182155, 182155, 184228, 188889, 195412, 200297, 202399, 208898, 210204, 213061, 227530, 103330, 113018, 117269, 121470, 154236, 158210, 44099, 50361, 57935, 58734, 97361, 2153, 2261, 3319, 3319, 3319, 5004, 6762, 8165, 8527, 8830, 9168, 9227, 9781, 10726, 11053, 11789, 12645, 12864, 13109, 38754, 39741, 163055, 171670]","[1, 1, 0, 0, 2, 0, 4, 2, 0, 0, 4, 2, 3, 3, 0, 0, 2, 1, 5, 14, 1, 4, 1, 5, 2, 2, 2, 3, 4, 0, 2, 3, 4, 5, 8, 2, 1, 7, 2, 0, 0, 2, 0, 1, 4]",45
people,energy,produce,"[184228, 212447, 92744, 95733, 8830, 12104]","[0, 3, 0, 5, 3, 0]",6
people,energy,use,"[200297, 203536, 218210, 218210, 222617, 103131, 120824, 141715, 146251, 228857, 58372, 93971, 1976, 2261, 2881, 3227, 6762, 8165, 172125]","[0, 7, 3, 3, 0, 1, 0, 0, 4, 4, 1, 3, 1, 5, 4, 4, 4, 0, 3]",19
people,energy,save,"[200375, 200375, 219687, 104279, 105737, 135131, 62385, 71990, 94327, 154, 8999, 173088]","[1, 4, 4, 6, 0, 2, 0, 4, 0, 0, 1, 2]",12
people,energy,need,"[201331, 220290, 41800]","[6, 4, 0]",3
people,energy,analyze,"[216358, 220766, 88093, 8255]","[9, 0, 2, 2]",4
people,energy,conserve,"[221758, 33545]","[6, 0]",2
people,energy,demand,"[134325, 53050, 2457, 2734]","[0, 6, 2, 4]",4
people,energy,plan,"[138204, 141274, 148808, 78578]","[1, 0, 4, 4]",4
people,energy,manage,"[3003, 4410, 9320, 9355]","[7, 6, 2, 3]",4
people,energy,generate,"[3227, 8165]","[5, 0]",2
people,a computer,use,"[206184, 206184, 108329, 2697]","[1, 2, 1, 6]",4
